"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","description","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","platform_id","contact_name","contact_email","contact_phone","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","infection:ch1","time point:ch1","tissue:ch1"
"GSM4996084","Cornea_mock_1","GSM4996084","Public on Dec 31 2020","Dec 30 2020","Jan 01 2021","SRA","1","cadaver donor eye tissue","Homo sapiens","tissue: cornea","infection: mock","time point: 24 hours","total RNA","Samples were lysed in 300µl TRIzol reagent (Invitrogen) and total RNA was extracted by phenol/chloroform extraction following manufacturer's protocol.","All libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions. Starting material: 1µg total RNA","9606","MW1_cornea_mock_1","automated base-calling performed with bcl2fastq (Illumina)","fastq files were aligned using RNA-Seq Alignment application (Basespace, Illumina).","total counts were extracted and comiled in .csv files","Genome_build: hg19","Supplementary_files_format_and_content: .csv file containining total counts of each gene after alignment.","GPL18573","Rasmus,,Moeller","rasmus.moeller@icahn.mssm.edu","9293751400","tenOever lab","Microbiology","Icahn School of Medicine at Mount Sinai","1 Gustave L. Levy Place","New York","NY","10029","USA","0","Illumina NextSeq 500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17187141","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9759115","NONE","mock","24 hours","cornea"
"GSM4996085","Cornea_mock_2","GSM4996085","Public on Dec 31 2020","Dec 30 2020","Jan 01 2021","SRA","1","cadaver donor eye tissue","Homo sapiens","tissue: cornea","infection: mock","time point: 24 hours","total RNA","Samples were lysed in 300µl TRIzol reagent (Invitrogen) and total RNA was extracted by phenol/chloroform extraction following manufacturer's protocol.","All libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions. Starting material: 1µg total RNA","9606","MW2_cornea_mock_2","automated base-calling performed with bcl2fastq (Illumina)","fastq files were aligned using RNA-Seq Alignment application (Basespace, Illumina).","total counts were extracted and comiled in .csv files","Genome_build: hg19","Supplementary_files_format_and_content: .csv file containining total counts of each gene after alignment.","GPL18573","Rasmus,,Moeller","rasmus.moeller@icahn.mssm.edu","9293751400","tenOever lab","Microbiology","Icahn School of Medicine at Mount Sinai","1 Gustave L. Levy Place","New York","NY","10029","USA","0","Illumina NextSeq 500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17187140","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9759116","NONE","mock","24 hours","cornea"
"GSM4996086","Cornea_mock_3","GSM4996086","Public on Dec 31 2020","Dec 30 2020","Jan 01 2021","SRA","1","cadaver donor eye tissue","Homo sapiens","tissue: cornea","infection: mock","time point: 24 hours","total RNA","Samples were lysed in 300µl TRIzol reagent (Invitrogen) and total RNA was extracted by phenol/chloroform extraction following manufacturer's protocol.","All libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions. Starting material: 1µg total RNA","9606","MW3_cornea_mock_3","automated base-calling performed with bcl2fastq (Illumina)","fastq files were aligned using RNA-Seq Alignment application (Basespace, Illumina).","total counts were extracted and comiled in .csv files","Genome_build: hg19","Supplementary_files_format_and_content: .csv file containining total counts of each gene after alignment.","GPL18573","Rasmus,,Moeller","rasmus.moeller@icahn.mssm.edu","9293751400","tenOever lab","Microbiology","Icahn School of Medicine at Mount Sinai","1 Gustave L. Levy Place","New York","NY","10029","USA","0","Illumina NextSeq 500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17187139","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9759117","NONE","mock","24 hours","cornea"
"GSM4996087","Cornea_CoV2_1","GSM4996087","Public on Dec 31 2020","Dec 30 2020","Jan 01 2021","SRA","1","cadaver donor eye tissue","Homo sapiens","tissue: cornea","infection: SARS-CoV-2, MOI = 1.0","time point: 24 hours","total RNA","Samples were lysed in 300µl TRIzol reagent (Invitrogen) and total RNA was extracted by phenol/chloroform extraction following manufacturer's protocol.","All libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions. Starting material: 1µg total RNA","9606","MW4_cornea_CoV2_1","automated base-calling performed with bcl2fastq (Illumina)","fastq files were aligned using RNA-Seq Alignment application (Basespace, Illumina).","total counts were extracted and comiled in .csv files","Genome_build: hg19","Supplementary_files_format_and_content: .csv file containining total counts of each gene after alignment.","GPL18573","Rasmus,,Moeller","rasmus.moeller@icahn.mssm.edu","9293751400","tenOever lab","Microbiology","Icahn School of Medicine at Mount Sinai","1 Gustave L. Levy Place","New York","NY","10029","USA","0","Illumina NextSeq 500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17187138","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9759118","NONE","SARS-CoV-2, MOI = 1.0","24 hours","cornea"
"GSM4996088","Cornea_CoV2_2","GSM4996088","Public on Dec 31 2020","Dec 30 2020","Jan 01 2021","SRA","1","cadaver donor eye tissue","Homo sapiens","tissue: cornea","infection: SARS-CoV-2, MOI = 1.0","time point: 24 hours","total RNA","Samples were lysed in 300µl TRIzol reagent (Invitrogen) and total RNA was extracted by phenol/chloroform extraction following manufacturer's protocol.","All libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions. Starting material: 1µg total RNA","9606","MW5_cornea_CoV2_2","automated base-calling performed with bcl2fastq (Illumina)","fastq files were aligned using RNA-Seq Alignment application (Basespace, Illumina).","total counts were extracted and comiled in .csv files","Genome_build: hg19","Supplementary_files_format_and_content: .csv file containining total counts of each gene after alignment.","GPL18573","Rasmus,,Moeller","rasmus.moeller@icahn.mssm.edu","9293751400","tenOever lab","Microbiology","Icahn School of Medicine at Mount Sinai","1 Gustave L. Levy Place","New York","NY","10029","USA","0","Illumina NextSeq 500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17187137","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9759119","NONE","SARS-CoV-2, MOI = 1.0","24 hours","cornea"
"GSM4996089","Cornea_CoV2_3","GSM4996089","Public on Dec 31 2020","Dec 30 2020","Jan 01 2021","SRA","1","cadaver donor eye tissue","Homo sapiens","tissue: cornea","infection: SARS-CoV-2, MOI = 1.0","time point: 24 hours","total RNA","Samples were lysed in 300µl TRIzol reagent (Invitrogen) and total RNA was extracted by phenol/chloroform extraction following manufacturer's protocol.","All libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions. Starting material: 1µg total RNA","9606","MW6_cornea_CoV2_3","automated base-calling performed with bcl2fastq (Illumina)","fastq files were aligned using RNA-Seq Alignment application (Basespace, Illumina).","total counts were extracted and comiled in .csv files","Genome_build: hg19","Supplementary_files_format_and_content: .csv file containining total counts of each gene after alignment.","GPL18573","Rasmus,,Moeller","rasmus.moeller@icahn.mssm.edu","9293751400","tenOever lab","Microbiology","Icahn School of Medicine at Mount Sinai","1 Gustave L. Levy Place","New York","NY","10029","USA","0","Illumina NextSeq 500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17187136","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9759120","NONE","SARS-CoV-2, MOI = 1.0","24 hours","cornea"
"GSM4996090","Limbus_mock_1","GSM4996090","Public on Dec 31 2020","Dec 30 2020","Jan 01 2021","SRA","1","cadaver donor eye tissue","Homo sapiens","tissue: limbus","infection: mock","time point: 24 hours","total RNA","Samples were lysed in 300µl TRIzol reagent (Invitrogen) and total RNA was extracted by phenol/chloroform extraction following manufacturer's protocol.","All libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions. Starting material: 1µg total RNA","9606","MW7_limbus_mock_1","automated base-calling performed with bcl2fastq (Illumina)","fastq files were aligned using RNA-Seq Alignment application (Basespace, Illumina).","total counts were extracted and comiled in .csv files","Genome_build: hg19","Supplementary_files_format_and_content: .csv file containining total counts of each gene after alignment.","GPL18573","Rasmus,,Moeller","rasmus.moeller@icahn.mssm.edu","9293751400","tenOever lab","Microbiology","Icahn School of Medicine at Mount Sinai","1 Gustave L. Levy Place","New York","NY","10029","USA","0","Illumina NextSeq 500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17187129","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9759121","NONE","mock","24 hours","limbus"
"GSM4996091","Limbus_mock_2","GSM4996091","Public on Dec 31 2020","Dec 30 2020","Jan 01 2021","SRA","1","cadaver donor eye tissue","Homo sapiens","tissue: limbus","infection: mock","time point: 24 hours","total RNA","Samples were lysed in 300µl TRIzol reagent (Invitrogen) and total RNA was extracted by phenol/chloroform extraction following manufacturer's protocol.","All libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions. Starting material: 1µg total RNA","9606","MW8_limbus_mock_2","automated base-calling performed with bcl2fastq (Illumina)","fastq files were aligned using RNA-Seq Alignment application (Basespace, Illumina).","total counts were extracted and comiled in .csv files","Genome_build: hg19","Supplementary_files_format_and_content: .csv file containining total counts of each gene after alignment.","GPL18573","Rasmus,,Moeller","rasmus.moeller@icahn.mssm.edu","9293751400","tenOever lab","Microbiology","Icahn School of Medicine at Mount Sinai","1 Gustave L. Levy Place","New York","NY","10029","USA","0","Illumina NextSeq 500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17187128","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9759122","NONE","mock","24 hours","limbus"
"GSM4996092","Limbus_mock_3","GSM4996092","Public on Dec 31 2020","Dec 30 2020","Jan 01 2021","SRA","1","cadaver donor eye tissue","Homo sapiens","tissue: limbus","infection: mock","time point: 24 hours","total RNA","Samples were lysed in 300µl TRIzol reagent (Invitrogen) and total RNA was extracted by phenol/chloroform extraction following manufacturer's protocol.","All libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions. Starting material: 1µg total RNA","9606","MW9_limbus_mock_3","automated base-calling performed with bcl2fastq (Illumina)","fastq files were aligned using RNA-Seq Alignment application (Basespace, Illumina).","total counts were extracted and comiled in .csv files","Genome_build: hg19","Supplementary_files_format_and_content: .csv file containining total counts of each gene after alignment.","GPL18573","Rasmus,,Moeller","rasmus.moeller@icahn.mssm.edu","9293751400","tenOever lab","Microbiology","Icahn School of Medicine at Mount Sinai","1 Gustave L. Levy Place","New York","NY","10029","USA","0","Illumina NextSeq 500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17187127","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9759123","NONE","mock","24 hours","limbus"
"GSM4996093","Limbus_CoV2_1","GSM4996093","Public on Dec 31 2020","Dec 30 2020","Jan 01 2021","SRA","1","cadaver donor eye tissue","Homo sapiens","tissue: limbus","infection: SARS-CoV-2, MOI = 1.0","time point: 24 hours","total RNA","Samples were lysed in 300µl TRIzol reagent (Invitrogen) and total RNA was extracted by phenol/chloroform extraction following manufacturer's protocol.","All libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions. Starting material: 1µg total RNA","9606","MW10_limbus_CoV2_1","automated base-calling performed with bcl2fastq (Illumina)","fastq files were aligned using RNA-Seq Alignment application (Basespace, Illumina).","total counts were extracted and comiled in .csv files","Genome_build: hg19","Supplementary_files_format_and_content: .csv file containining total counts of each gene after alignment.","GPL18573","Rasmus,,Moeller","rasmus.moeller@icahn.mssm.edu","9293751400","tenOever lab","Microbiology","Icahn School of Medicine at Mount Sinai","1 Gustave L. Levy Place","New York","NY","10029","USA","0","Illumina NextSeq 500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17187126","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9759124","NONE","SARS-CoV-2, MOI = 1.0","24 hours","limbus"
